disp_x,disp_y,disp_z,id,x,y,z
0,0,-0,0,0,-9.999999747378752e-05,-9.999999747378752e-05
-1.004863770504016e-05,8.255351957586754e-08,8.255351957586754e-08,1,0.009999999776482582,-9.999999747378752e-05,-9.999999747378752e-05
-1.004863770504016e-05,-8.255351957586754e-08,8.255351957586754e-08,2,0.009999999776482582,0.01009999960660934,-9.999999747378752e-05
0,-0,0,3,0,0.01009999960660934,-9.999999747378752e-05
0,0,-0,4,0,-9.999999747378752e-05,0.01009999960660934
-1.004863770504016e-05,8.255351957586754e-08,-8.255351957586754e-08,5,0.009999999776482582,-9.999999747378752e-05,0.01009999960660934
-1.004863770504016e-05,-8.255351957586754e-08,-8.255351957586754e-08,6,0.009999999776482582,0.01009999960660934,0.01009999960660934
0,-0,-0,7,0,0.01009999960660934,0.01009999960660934
-5.024318852520082e-06,-1.577961405985207e-08,-1.577961405985207e-08,8,0.004999999888241291,-9.999999747378752e-05,-9.999999747378752e-05
-1.019072897179285e-05,2.204365569737354e-20,8.255351957586754e-08,9,0.009999999776482582,0.004999999888241291,-9.999999747378752e-05
-5.024318852520082e-06,1.577961405985207e-08,-1.577961405985207e-08,10,0.004999999888241291,0.01009999960660934,-9.999999747378752e-05
0,0,0,11,0,0.004999999888241291,-9.999999747378752e-05
0,0,0,12,0,-9.999999747378752e-05,0.004999999888241291
-1.019072897179285e-05,8.255351957586754e-08,-6.368096797766366e-21,13,0.009999999776482582,-9.999999747378752e-05,0.004999999888241291
-1.019072897179285e-05,-8.255351957586754e-08,-2.634717673307361e-21,14,0.009999999776482582,0.01009999960660934,0.004999999888241291
0,-0,-0,15,0,0.01009999960660934,0.004999999888241291
-5.024318852520082e-06,-1.577961405985207e-08,1.577961405985207e-08,16,0.004999999888241291,-9.999999747378752e-05,0.01009999960660934
-1.019072897179285e-05,1.776178272147407e-20,-8.255351957586754e-08,17,0.009999999776482582,0.004999999888241291,0.01009999960660934
-5.024318852520082e-06,1.577961405985207e-08,1.577961405985207e-08,18,0.004999999888241291,0.01009999960660934,0.01009999960660934
0,-0,-0,19,0,0.004999999888241291,0.01009999960660934
-9.170314453716855e-06,-5.951864778808158e-08,-5.951864778808158e-08,20,0.009998999776482583,0,0
-1.999999983329326e-05,-0,0,21,0.01999899955296516,0,0
-1.999999983329326e-05,-0,-0,22,0.01999899955296516,0.009999999776482582,0
-9.170314453716855e-06,5.951864778808158e-08,-5.951864778808158e-08,23,0.009998999776482583,0.009999999776482582,0
-9.170314453716855e-06,-5.951864778808158e-08,5.951864778808158e-08,24,0.009998999776482583,0,0.009999999776482582
-1.999999983329326e-05,0,0,25,0.01999899955296516,0,0.009999999776482582
-1.999999983329326e-05,0,-0,26,0.01999899955296516,0.009999999776482582,0.009999999776482582
-9.170314453716855e-06,5.951864778808158e-08,5.951864778808158e-08,27,0.009998999776482583,0.009999999776482582,0.009999999776482582
-1.461333920108154e-05,1.523083170695827e-08,1.523083170695827e-08,28,0.01499899966472387,0,0
-1.999999983329326e-05,0,0,29,0.01999899955296516,0.004999999888241291,0
-1.461333920108154e-05,-1.523083170695827e-08,1.523083170695827e-08,30,0.01499899966472387,0.009999999776482582,0
-9.303153430868405e-06,-2.005337674862713e-20,-5.614619880134342e-08,31,0.009998999776482583,0.004999999888241291,0
-9.303153430868405e-06,-5.614619880134342e-08,5.676614599247166e-21,32,0.009998999776482583,5.777789833161708e-34,0.004999999888241291
-1.999999983329326e-05,-0,-0,33,0.01999899955296516,0,0.004999999888241291
-1.999999983329326e-05,0,0,34,0.01999899955296516,0.009999999776482582,0.004999999888241291
-9.303153430868405e-06,5.614619880134342e-08,2.660739733324578e-21,35,0.009998999776482583,0.009999999776482582,0.004999999888241291
-1.461333920108154e-05,1.523083170695827e-08,-1.523083170695827e-08,36,0.01499899966472387,0,0.009999999776482582
-1.999999983329326e-05,0,-0,37,0.01999899955296516,0.004999999888241291,0.009999999776482582
-1.461333920108154e-05,-1.523083170695827e-08,-1.523083170695827e-08,38,0.01499899966472387,0.009999999776482582,0.009999999776482582
-9.303153430868405e-06,-1.854979503955301e-20,5.614619880134342e-08,39,0.009998999776482583,0.004999999888241291,0.009999999776482582
